Class,Number_of_Samples,Average_F0_Hz,Std_F0_Hz,Success_%
Child,181,282.5425854333875,44.9949615013284,81.76795580110497
Female,205,252.37942519565942,41.43215250992762,53.170731707317074
Male,209,158.73709770097062,42.1610311429199,73.20574162679426
